线束零件号,零件名称,零件号,物料名称/零件名称,是否半成品,物料型号/SAP,回路,数量,单位,供应商,其他备注,总成号,责任人,非导线,铝重,铜重,非铜,导线,材料成本,铝重,铜重,导线成本,币种,价格类型,备注
6608442962,直流母线总成,E281-ZJ-07,金属支架,N,/,,1,PCS,恒伟林/贵龙/华凯,★,,王永东,2.43,0,0,0,0,2.43,0,0,0,CNY,分摊价,含100000分摊
6608442962,直流母线总成,E281-XJ-06,橡胶件,N,/,,2,PCS,恒伟林/远信/博昊/天乐,★,,狄斌,1.15,0,0,0,0,2.3,0,0,0,CNY,分摊价,含100000分摊
6608442962,直流母线总成,MS11-XJ-05,橡胶件,N,A04032520,,2,PCS,金坛博盟,沿用,,0,0.81225,0,0,0,0,1.6245,0,0,0,CNY,系统价,0
6608442962,直流母线总成,111-00563,扎带绳,N,A06010012,,8,PCS,上海众安/海尔曼太通,★,,0,0.057,0,0,0,0,0.456,0,0,0,CNY,系统价,0
6608442962,直流母线总成,X1-BQ-01 标签140x30mm,产品标签,N,70002326,,1,PCS,洪众,,,0,0.14,0,0,0,0,0.14,0,0,0,CNY,系统价,0
6608442964,电动压缩机线束总成,2521188-1,连接器总成,N,/,,1,SET,TE,客户指定,2521188-1,洪巧明,13,0,0,0,0,13,0,0,0,CNY,总成参考价,0
6608442964,电动压缩机线束总成,113990002387,插头组件,N,/,,1,PCS,永贵,客户指定,YGC1612-EV-P2PNA2-6,江苏林,25,0,0,0,0,25,0,0,0,0,总成参考价,0
6608442964,电动压缩机线束总成,115490007801,孔端子组件,N,/,,1,PCS,永贵,客户指定,,江苏林,0,0,0,0,0,0,0,0,0,0,散件,0
6608442964,电动压缩机线束总成,113029800652,针端子组件,N,/,,1,PCS,永贵,客户指定,,江苏林,0,0,0,0,0,0,0,0,0,0,散件,0
6608442964,电动压缩机线束总成,114022500496,外屏蔽环,N,A03102046,,2,PCS,永贵,客户指定,,江苏林,0,0,0,0,0,0,0,0,0,0,散件,0
6608442964,电动压缩机线束总成,114022500494,内屏蔽环,N,A03102047,,2,PCS,永贵,客户指定,,江苏林,0,0,0,0,0,0,0,0,0,0,散件,0
6608442964,电动压缩机线束总成,114050501765,密封圈,N,A02102213,,2,PCS,永贵,客户指定,,江苏林,0,0,0,0,0,0,0,0,0,0,散件,0
6608442964,电动压缩机线束总成,114069806819,尾盖,N,/,,2,PCS,永贵,客户指定,,江苏林,0,0,0,0,0,0,0,0,0,0,散件,0
6608442964,电动压缩机线束总成,FHLALR91XCCAATB91X/4.0/橙,4.0mm²屏蔽镀锡铜包铝交联铝导线,N,/,,1.5,M,太平洋/鑫宏业,★,,郑锦清,0,17.64,4.79,1438.88,2.1386479,3.20797185,0.02646,7.185,3.20797185,CNY,批量价,0
6608442964,电动压缩机线束总成,LG3305D012B,12OR橙色波纹管,N,A04101161,,0.55,M,骏鼎达/诗兰姆,★,,0,0.62,0,0,0,0,0.341,0,0,0,CNY,系统价,0
6608442964,电动压缩机线束总成,LY5016019-OR2,橙色布基胶带,N,A04101159,,0.4,M,联益,★,,0,0.22,0,0,0,0,0.088,0,0,0,CNY,系统价,0
6608442964,电动压缩机线束总成,P111W0192510002,橙色PVC胶带,N,A04101670,,2,M,亚化,★,,0,0.07,0,0,0,0,0.14,0,0,0,CNY,系统价,0
6608442964,电动压缩机线束总成,PP9122201,M6竖置螺柱卡,N,A06101666,,1,PCS,上海众安/海尔曼太通,★,,0,0.09,0,0,0,0,0.09,0,0,0,CNY,系统价,0
6608442964,电动压缩机线束总成,PP9114201,M6抬高螺柱卡,N,A06003890,,1,PCS,上海众安/海尔曼太通,★,,0,0.1,0,0,0,0,0.1,0,0,0,CNY,系统价,0
6608442964,电动压缩机线束总成,PP9109401,M6杉树卡扣,N,A06003888,,1,PCS,上海众安/海尔曼太通,★,,0,0.128,0,0,0,0,0.128,0,0,0,CNY,系统价,0
6608442964,电动压缩机线束总成,X1-BQ-01 标签140x30mm,产品标签,N,70002326,,1,PCS,洪众,,,0,0.14,0,0,0,0,0.14,0,0,0,CNY,系统价,0
6608442963,电动压缩机线束总成,2521188-1,连接器总成,N,/,,1,SET,TE,客户指定,2521188-1,洪巧明,13,0,0,0,0,13,0,0,0,CNY,总成参考价,0
6608442963,电动压缩机线束总成,113990002387,插头组件,N,/,,1,PCS,永贵,客户指定,YGC1612-EV-P2PNA2-6,江苏林,25,0,0,0,0,25,0,0,0,0,总成参考价,0
6608442963,电动压缩机线束总成,115490007801,孔端子组件,N,/,,1,PCS,永贵,客户指定,,江苏林,0,0,0,0,0,0,0,0,0,0,散件,0
6608442963,电动压缩机线束总成,113029800652,针端子组件,N,/,,1,PCS,永贵,客户指定,,江苏林,0,0,0,0,0,0,0,0,0,0,散件,0
6608442963,电动压缩机线束总成,114022500496,外屏蔽环,N,A03102046,,2,PCS,永贵,客户指定,,江苏林,0,0,0,0,0,0,0,0,0,0,散件,0
6608442963,电动压缩机线束总成,114022500494,内屏蔽环,N,A03102047,,2,PCS,永贵,客户指定,,江苏林,0,0,0,0,0,0,0,0,0,0,散件,0
6608442963,电动压缩机线束总成,114050501765,密封圈,N,A02102213,,2,PCS,永贵,客户指定,,江苏林,0,0,0,0,0,0,0,0,0,0,散件,0
6608442963,电动压缩机线束总成,114069806819,尾盖,N,/,,2,PCS,永贵,客户指定,,江苏林,0,0,0,0,0,0,0,0,0,0,散件,0
6608442963,电动压缩机线束总成,112030106654,插头组件,N,/,,1,PCS,永贵,客户指定,YGC1176D-EV-S(2+2)PT/1,江苏林,21,0,0,0,0,21,0,0,0,CNY,总成报价,0
6608442963,电动压缩机线束总成,501021401627,插针组件,N,/,,2,PCS,永贵,客户指定,,江苏林,0,0,0,0,0,0,0,0,0,0,散件,0
6608442963,电动压缩机线束总成,114022500492,屏蔽内套管,N,/,,2,PCS,永贵,客户指定,,江苏林,0,0,0,0,0,0,0,0,0,0,散件,0
