★,"若有其他方案推荐,经评估可行后可更新至K列",,,,,,,,,,,,,
组件描述,物料名称（英文/中文）,用量,单位,供应商名称,SAP号,备注,责任人,单价,铝重,铜重,非铜,币别,价格类型,备注
5-2385463-1,护套塑壳,3,PCS,TE,A02101947,客户指定,洪巧明,1.5,,,,CNY,系统价,
2377023-2,端子,54,PCS,TE,A03033091,客户指定,洪巧明,0.06,,,,CNY,系统价,
2377665-4,防水栓,54,PCS,TE,A03033097,客户指定,洪巧明,0.055,,,,CNY,系统价,
963143-1,盲栓（1/8/15/22）,12,PCS,TE,A02031363,客户指定,洪巧明,0.182,,,,CNY,系统价,
BH4309802,箭头扎带卡花,3,PCS,博昊,A06100441,客户指定,,0.152,,,,CNY,系统价,
HVSPC2P1900FS112,ODP端连接器（直流）,2,SET,安费诺,/,客户指定,胡继燕,33,,,,CNY,询价,
HVC2PG263UFSW106-NH,ODP端连接器（交流）,3,SET,安费诺,/,客户指定,胡继燕,12,,,,CNY,询价,
805-122-541,护套,3,PCS,赫尔斯曼,A02000642,客户指定,,1.68019,,,,CNY,系统价,
32140734123,端子,12,PCS,科世达,A03032316,客户指定,,0.09505,,,,CNY,系统价,
10800507250,防水栓,12,PCS,赫尔斯曼,A03011408,客户指定,,0.04811,,,,CNY,系统价,
K03006773,DC接地端子,3,PCS,丰迪/荣盛达,/,★,狄斌,1.08,,,,CNY,询价,
K03005541,AC接地端子,3,PCS,丰迪/荣盛达,A03101932,★,,2.2,,,,CNY,系统价,
10106880,接地热缩管,6,PCS,深圳宏商/长春海达,A04032364,★,,0.2775,,,,CNY,系统价,
FHLALR2G/120.0/橙,120mm²单芯非屏蔽铝导线,8.44,M,太平洋/鑫宏业/斯普乐,A01101891,太平洋,郑锦清,,327.7,,10360,CNY,批量价,
FHLALR91X/6.0/橙,6mm²单芯非屏蔽铝导线,8.58,M,鑫宏业/斯普乐,/,鑫宏业,郑锦清,,17.68,,755.77,CNY,批量价,
FHL91X/6.0/黄绿,6mm²单芯铜导线,0.69,M,鑫宏业/斯普乐,A01101944,鑫宏业,郑锦清,,,55.81,450,CNY,批量价,
FHL91X/5.0/黄绿,5mm²单芯铜导线,0.75,M,鑫宏业/斯普乐,/,鑫宏业,郑锦清,,,47.9,562.8,CNY,批量价,
FLRY-B/0.5/黑,低压导线,29.7,M,福斯,A01011796,福斯,郑锦清,,,4.5,34.49,CNY,批量价,
SCS2165A019,19OR橙色编织套管,6.94,M,骏鼎达/明鑫,A04101671,★,,1.525,,,,CNY,系统价,
LY5016019,黑色布基胶带,4.98,M,联益,A04030943,★,,0.1748,,,,CNY,系统价,
6211015110AL,防水泥,9,PCS,DSG/凯密科,A04010396,★,,0.41703,,,,CNY,系统价,
