吉利E281高压,,,,,金额单位：元,
研发费用成本（不包含收费样线）,,,,,,备   注
编号,归属,项目投资名称,单位,新增数量,新增金额,
E0001,研发费用类,原 材 料,,,,
E0002,研发费用类,手工样线,,,,
E0003,研发费用类,试验样线/样品费用,,,271200,
E0004,研发费用类,工    资,,,,
E0005,研发费用类,差 旅 费,,,10800,
E0006,研发费用类,交 际 费,,,,
E0007,研发费用类,常规DVP测试,,,300000,
E0008,研发费用类,实验费,,,,
E0009,研发费用类,资讯设备费,,,,
E0010,研发费用类,空运费,,,,
E0011,研发费用类,气味实验,,,,
E0011,研发费用类,管理费用,,,,"59,791元,费用总金额*5%"
E0012,研发费用类,专利费,,,,
E0013,研发费用类,场地租赁,,,,
,,,,合计,582000,
,,,,单套成本,0.97,
,,,,,,
,,,,,0.0454545454545455,第五页
